Name,Prefix,Slot,Complexity,Perk 1,Perk 2,Skill,Rarity,Materials,Cost,Effects,Weight,Mod Applies to list
Ripper,,,,,,,2,,50,"4CD Phys, Vicious",6,
Shishkebab,,,,,,,3,,200,"5CD Energy, Piercing 1, Parry",3,
Switchblade,,,,,,,0,,20,"2CD Phys Piercing 1, Concealed",1,
Baseball Bat,,,,,,,1,,25,"4CD Phys, Two-Handed",3,
Aluminum Baseball Bat,,,,,,,2,,32,"5CD Phys, Two-Handed",2,
Board,,,,,,,0,,20,"4CD Phys, Two-Handed",3,
Lead Pipe,,,,,,,0,,15,3CD Phys,3,
Pipe Wrench,,,,,,,1,,30,3CD Phys,2,
Pool Cue,,,,,,,0,,10,"3CD Phys, Two-Handed",1,
Rolling Pin,,,,,,,0,,10,3CD Phys,1,
Baton,,,,,,,1,,15,3CD Phys,2,
Sledgehammer,,,,,,,2,,40,"5CD Phys, ?Two-Handed",12,
Super Sledge,,,,,,,3,,180,"6CD Phys, Two-Handed, Breaking",20,
Tire Iron,,,,,,,1,,25,3CD Phys,2,
Walking Cane,,,,,,,0,,10,3CD Phys,2,
Boxing Glove,,,,,,,1,,10,"Unarmed, 3CD Phys, Stun",1,
Deathclaw Gauntlet,,,,,,,3,,75,"Unarmed, 5CD Phys, Piercing 1",10,
Knuckles,,,,,,,1,,10,"Unarmed, 3CD Phys Concealed",<1,
Power Fist,,,,,,,2,,100,"Unarmed, 4CD Phys, Stun",4,
Melee Weapon Mods,,,,,,,,,,,,
Sword Mods,,,,,,,,,,,,
Sword,,,,,,,2,,50,"4CD Phys, Piercing 1, Parry",3,
Serrated Blade,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,25,gain persistent,,
Electrified Blade,,,4,Blacksmith 2,Science! 1,Repair,Uncommon,Common x 5 Uncommon x 3,50,"plus 1 CD Damage, gains Energy damage",,
Electrified Serrated Blade,,,5,Blacksmith 3,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,75,"plus 1 CD Damage, gains Energy damage, Persistent (physical)",,
Stun Pack,,,5,Blacksmith 3,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,100,"plus 2 CD Damage, gains Energy damage, Stun",,
Combat Knife Mods,,,,,,,,,,,,
Combat Knife,,,,,,,1,,25,"3CD Phys, Piercing 1",1,
Serrated Blade,,,3,Blacksmith 1,,Repair,Uncommon,Common x 4 Uncommon x 2,12,"plus 1 CD Damage, gains Persistent",,
Stealth Blade,,,4,Blacksmith 2,,Repair,Uncommon,Common x 5 Uncommon x 3,18,"plus 1 CD Damage, 2 CD Damage on Steak Attacks, gains Persistent",,
Machete Mods,,,,,,,,,,,,
Machete,,,,,,,1,,25,"3CD Phys, Piericng 1",2,
Serrated Blade,,,3,Blacksmith 1,,Repair,Uncommon,Common x 4 Uncommon x 2,12,"plus 2 CD Damage, gains Persistent",,
Ripper Mods,,,,,,,,,,,,
Ripper,,,,,,,2,,50,"4CD Phys, Vicious",6,
Curved Blade,,,2,,,Repair,Common,Common x 3,15,"plus 1 CD Damage, On succesful attack, spend 2 AP to disarm 1 weapon",1,
Extended Blade,,,5,Blacksmith 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,25,"plus 1 CD Damage, gain persistent",3,
Shishkebab Mods,,,,,,,,,,,,
Shishkebab,,,,,,,3,,200,"5CD Energy, Piercing 1, Parry",3,
Extra Flame Jets,,,5,Blacksmith 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,100,"plus 1 CD Damage, gain Persistent",,
Switchblade Mods,,,,,,,,,,,,
Switchblade,,,,,,,0,,20,"2CD Phys Piercing 1, Concealed",1,
Serrated Blade,,,3,Blacksmtih 1,,Repair,Uncommon,Common x 4 Uncommon x 2,10,"plus 1 CD Damage, gain Persistent",,
Baseball Bat Mods,,,,,,,,,,,,
Baseball Bat,,,,,,,1,,25,"4CD Phys, Two-Handed",3,
Aluminum Baseball Bat,,,,,,,2,,32,"5CD Phys, Two-Handed (Can only apply mods with Blacksmith 1+)",2,
Barbed,,,1,,,Repair,Common,Common x 2,5,gain Piercing 1,,
Spiked,,,2,,,Repair,Common,Common x 3,7,"plus 1 CD Damage, gain Piercing 1",1,
Sharp,,,2,,,Repair,Common,Common x 3,7,"plus 1 CD Damage, gain Persistent",1,
Chain-Wrapped,,,3,Blacksmith 1,,Repair,Uncommon,Common x 4 Uncommon x 2,10,plus 2 CD Damage,1,
Bladed,,,4,Blacksmith 2,,Repair,Uncommon,Common x 5 Uncommon x 3,12,"plus 2 CD Damage, gain Persistent",2,
Board Mods,,,,,,,,,,,,
Board,,,,,,,0,,20,"4CD Phys, Two-Handed",3,
Spiked,,,1,,,Repair,Common,Common x 2,6,"plus 1 CD Damage, gain Piercing 1",1,
Puncturing,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,9,plus 2 CD Damage,1,
Bladed,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,10,"plus 2 CD Damage, gain Persistent",2,
Lead Pipe Mods,,,,,,,,,,,,
Lead Pipe,,,,,,,0,,15,3CD Phys,3,
Spiked,,,1,,,Repair,Common,Common x 2,4,"plus 1 CD Damage, gain Piercing 1",1,
Heavy,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,11,plus 2 CD Damage,2,
Pipe Wrench Mods,,,,,,,,,,,,
Pipe Wrench,,,,,,,1,,30,3CD Phys,2,
Hooked,,,1,,,Repair,Common,Common x 2,9,"plus 1 CD Damage, On succesful attack, spend 2 AP to disarm 1 weapon",,
Heavy,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,12,plus 2 CD Damage,7,
Puncturing,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,13,"plus 2 CD Damage, gain Piercing 1",1,
Extra Heavy,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,22,plus 3 CD Damage,2,
Pool Cue Mods,,,,,,,,,,,,
Pool Cue,,,,,,,0,,10,"3CD Phys, Two-Handed",1,
Barbed,,,1,,,Repair,Common,Common x 2,2,"plus 1 CD Damage, gain Piercing 1",,
Sharp,,,1,,,Repair,Common,Common x 2,3,"plus 1 CD Damage, gain Persistent",,
Rolling Pin Mods,,,,,,,,,,,,
Rolling Pin,,,,,,,0,,10,3CD Phys,1,
Spiked,,,1,,,Repair,Common,Common x 2,3,"plus 1 CD Damage, gain Piercing 1",,
Sharp,,,1,,,Repair,Common,Common x 2,3,"plus 1 CD Damage, gain Persistent",,
Baton Mods,,,,,,,,,,,,
Baton,,,,,,,1,,15,3CD Phys,2,
Electrified,,,4,Blacksmith 2,Science! 1,Repair,Uncommon,Common x 5 Uncommon x 3,15,"plus 2 CD Damage, gain Energy Damage",,
Stun Pack,,,4,Blacksmith 2,Science! 1,Repair,Uncommon,Common x 5 Uncommon x 3,30,"plus 3 CD Damage, gain Energy Damage, Stun",,
Sledgehammer Mods,,,,,,,,,,,,
Sledgehammer,,,,,,,2,,40,"5CD Phys, ?Two-Handed",12,
Puncturing,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,18,"plus 1 CD Damage, gain Piercing 1",5,
Heavy,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,30,plus 2 CD Damage,9,
Super Sledge Mods,,,,,,,,,,,,
Super Sledge,,,,,,,3,,180,"6CD Phys, Two-Handed, Breaking",20,
Heating Coil,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,180,"plus 1 CD Damage, gain Energy Damage",,
Stun Pack,,,5,Blacksmith 3,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,360,"plus 2 CD Damage, gain Energy Damage, Stun",,
Tire Iron Mods,,,,,,,,,,,,
Tire Iron,,,,,,,1,,25,3CD Phys,2,
Bladed,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,12,"plus 1 CD Damage, gain Persistent",1,
Walking Cane Mods,,,,,,,,,,,,
Walking Cane,,,,,,,0,,10,3CD Phys,2,
Barbed,,,1,,,Repair,Common,Common x 2,3,"plus 1 CD Damage, gain Piercing 1",,
Spiked,,,1,,,Repair,Common,Common x 2,3,"plus 1 CD Damage, gain Piercing 1",,
Boxing Glove Mods,,,,,,,,,,,,
Boxing Glove,,,,,,,1,,10,"Unarmed, 3CD Phys, Stun",1,
Spiked,,,1,,,Repair,Common,Common x 2,3,gain Piercing 1,,
Puncturing,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,4,"plus 1 CD Damage, gain Piercing 1",,
Lead Lining,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,7,plus 2 CD Damage,1,
Deathclaw Gauntlet Mods,,,,,,,,,,,,
Deathclaw Gauntlet,,,,,,,3,,75,"Unarmed, 5CD Phys, Piercing 1",10,
Extra Claw,,,1,,,Repair,Common,Common x 2,22,"plus 1 CD Damage, On succesful attack, spend 2 AP to disarm 1 weapon",2,
Knuckles Mods,,,,,,,,,,,,
Knuckles,,,,,,,1,,10,"Unarmed, 3CD Phys Concealed",<1,
Sharp,,,1,,,Repair,Common,Common x 2,3,gain Persistent,,
Spiked,,,1,,,Repair,Common,Common x 2,3,gain Piercing 1,,
Puncturing,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,4,"plus 1 CD Damage, gain Piercing 1",,
Bladed,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,5,"plus 1 CD Damage, gain Persistent",,
Power Fist Mods,,,,,,,,,,,,
Power Fist,,,,,,,2,,100,"Unarmed, 4CD Phys, Stun",4,
Puncturing,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,45,"plus 2 CD Damage, Gain Piercing 1",1,
Heating Coil,,,4,Blacksmith 3,,Repair,Uncommon,Common x 5 Uncommon x 3,100,"plus 2 CD Damage, gain Energy damage",,
Throwing Weapons,,,,,,,,,,Weapon Type Throwing,,
Throwing Knives,,,,,,,1,,10,"3 CD Phys, Piercing 1, Thrown C, Concealed, Suppressed",<1,
Tomahawk,,,,,,,2,,15,"4 CD Phys, Piercing 1, Thrown C, Suppressed",<1,
Javelin,,,,,,,1,,10,"4 CD Phys, Piercing 1, Thrown M, Suppressed",4,
Robot Armor,,,,,,,,,,,,
Standard Plating,,,,,,,,,,"Phys DR 2, Energy DR 0",,
Mister Gutsy Plating,,,,,,,,,,"Phys DR 2, Energy DR 2",10,
Factory Armor,,,2,,,Repair,Common,Common x 3,10/20,"Phys DR +1, Energy DR +1",,
Factory Storage Armor(Body Only),,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,25,"Phys DR +1, Energy DR +1",-20,
Primal Plate,,,2,,,Repair,Common,Common x 3,10/20,Phys DR +2,10/20,
Serrated Plate,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,15/30,"Phys DR +2, Melee attack against location attacker gets 2 CD Persistent Phys and a complication, melee attacks using arms deal Persistent Physical damage",10/20,
Noxious Plate,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,15/30,"Phys DR +2, Melee attack against location attacker gets 2 CD Persistent Poison and a complication, melee attacks using arms deal Persistent Poison damage",10/20,
Toxic Plate,,,5,Armorer 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,15/30,"Phys DR +2, Melee attack against location attacker gets 2 CD Rad and a complication, melee attacks using arms add Radioactive damage effect",10/20,
Actuated Frame,,,2,,,Repair,Common,Common x 3,15/30,"Phys DR +1, Energy DR +1, Melee deals +1CD, Thruster grants ability to use move for both actions",-10/-20,
Voltaic Frame,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,20/40,"Phys DR +2, Energy DR +2, Energy attacks deal +1CD, +1CD more each 2 other locations",-10/-20,
Hydraulic Frame,,,5,Armorer 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,30/60,"Phys DR +3, Energy DR +3, Melee deals +1CD and Stun",-5/-10,
Robot Mods,,,,,,,,,,,,
Behavioral Analysis Mod,,,,Robotics Expert 1,,,3,,50,Reduce dif of Speech tests by 1 min 0,,
Diagnosis Mod,,,,Robotics Expert 1,,,3,,50,Reduce dif of Medicine tests by 1 min 0,,
Hacking Module,,,5,,,Science,Common2,Common x 6 Uncommon x 4 Rare x 2,25,Reduce dif of Science tests to hack by 1 min 0,,
Hazard Detection Mod,,,,,,,2,,25,Reduce dif of Survival tests to detect and disable traps and similar hazards by 1 min 0,,
Integral Boiler Mod,,,,,,,1,,15,"Convert 2 dirty waters into 1 purified water in 10 minutes, once per scene",10,
Lockpick Module,,,5,,,Science,Common2,Common x 6 Uncommon x 4 Rare x 2,25,"Reduce dif of Lockpick tests by 1 min 0, removes need for lockpicking tools or bobby pins",5,
Radiation Coils,,,5,Robotics Expert 1,,Science,Uncommon3,Common x 6 Uncommon x 4 Rare x 2,50,"Turn on or off at turn start, creatures within reach 3CD rad damage each turn it is on",10,
Recon Sensors,,,5,Robotics Expert 1,,Science,Uncommon3,Common x 6 Uncommon x 4 Rare x 2,50,Reduce dif of tests to detect hidden enemies by 1 min 0. +1 to their dif to hide if visible to you,5,
Regeneration Field,,,4,Robotics Expert 2,Science! 2,Science,Rare5,Common x 5 Uncommon x 3,125,Allies regain 2 HP at start of each scene you are present in outside of combat,25,
Resistance Field,,,4,Robotics Expert 1,Science! 1,Science,Uncommon4,Common x 5 Uncommon x 3,75,Allies in close range plus 2 Phys DR,20,
Sensor Array,,,4,Robotics Expert 1,Science! 1,Science,Uncommon3,Common x 5 Uncommon x 3,50,Re-roll 1d20 on PER tests may attempt PER tests to detect invisible things (like radiation),15,
Stealth Field,,,5,Robotics Expert 1,,Science,Rare3,Common x 6 Uncommon x 4 Rare x 2,50,Allies in close range re-roll 1d20 on Stealth tests,20,
Tesla Coils,,,5,Robotics Expert 2,Science! 1,Science,Rare5,Common x 6 Uncommon x 4 Rare x 2,100,"Turn on or off at turn start, creatures within reach 4CD Piercing 1 Stun Energy dam each turn its on",25,
Power Armor,,,,,,,,,,,,
Power Armor Upgrades,,,,,,,,,,,,
Armor Frame,,,,,,,4,,4500,"See Page 138, Operation, Impact Landing, Enhanced Strength, Sealed Environment, Ablative Resilience, Technological",150,
Raider Helm,,,,,,,2,,50,"Phys DR 6, Energy DR 4, Rad DR 7, HP 7",14,
Raider Chest Piece,,,,,,,2,,100,"Phys DR 8, Energy DR 6, Rad DR 9, HP 10",22,
Raider Arm,,,,,,,2,,75,"Phys DR 4, Energy DR 3, Rad DR 7, HP 7",16,
Raider Leg,,,,,,,2,,75,"Phys DR 4, Energy DR 3, Rad DR 7, HP 7",17,
Raider II Helm,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,5,"Phys DR +1, HP +3",1,
Raider II Chest Piece,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,10,"Phys DR +1, HP +4",2,
Raider II Arm,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,7,"Phys DR +1, HP +3",2,
Raider II Leg,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,7,"Phys DR +1, HP +3",2,
T-45 Helm,,,,,,,2,,60,"Phys DR 6, Energy DR 4, Rad DR 7, HP 7",12,
T-45 Chest Piece,,,,,,,2,,140,"Phys DR 8, Energy DR 7, Rad DR 9, HP 14",20,
T-45 Arm,,,,,,,2,,100,"Phys DR 4, Energy DR 3, Rad DR 7, HP 7",15,
T-45 Leg,,,,,,,2,,100,"Phys DR 4, Energy DR 3, Rad DR 7, HP 7",15,
T-45b Helm,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,3,HP +1,1,
T-45b Chest Piece,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,7,HP +1,1,
T-45b Arm,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,7,"Phys DR +1, Energy DR +1, HP +1",1,
T-45b Leg,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,7,"Phys DR +1, Energy DR +1, HP +1",1,
T-45c Helm,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,6,"Phys DR +1, Energy DR +1, HP +2",1,
T-45c Chest Piece,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,14,HP +4,2,
T-45c Arm,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,10,"Phys DR +2, Energy DR +2, HP +2",2,
T-45c Leg,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,10,"Phys DR +2, Energy DR +2, HP +2",2,
T-45d Helm,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,9,"Phys DR +1, Energy DR +1, HP +3",2,
T-45d Chest Piece,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,21,"Phys DR +1, Energy DR +1, HP +5",3,
T-45d Arm,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,15,"Phys DR +2, Energy DR +3, HP +3",2,
T-45d Leg,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,15,"Phys DR +2, Energy DR +3, HP +3",2,
T-45e Helm,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,12,"Phys DR +1, Energy DR +2, HP +3",2,
T-45e Chest Piece,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,28,"Phys DR +1, Energy DR +1, HP +7",4,
T-45e Arm,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,20,"Phys DR +3, Energy DR +3, HP +3",3,
T-45e Leg,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,20,"Phys DR +3, Energy DR +3, HP +3",3,
T-45f Helm,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,15,"Phys DR +2, Energy DR +2, HP +4",3,
T-45f Chest Piece,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,35,"Phys DR +1, Energy DR +1, HP +8",5,
T-45f Arm,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,25,"Phys DR +3, Energy DR +4, HP +4",4,
T-45f Leg,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,25,"Phys DR +3, Energy DR +4, HP +4",4,
T-51 Helm,,,,,,,3,,80,"Phys DR 6, Energy DR 5, Rad DR 7, HP 9",12,
T-51 Chest Piece,,,,,,,3,,180,"Phys DR 8, Energy DR 7, Rad DR 9, HP 18",20,
T-51 Arm,,,,,,,3,,130,"Phys DR 5, Energy DR 4, Rad DR 7, HP 9",15,
T-51 Leg,,,,,,,3,,?130,"Phys DR 5, Energy DR 4, Rad DR 7, HP 9",15,
T-51b Helm,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,4,HP +1,1,
T-51b Chest Piece,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,9,"Phys DR +1, HP +1",1,
T-51b Arm,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,6,HP +1,1,
T-51b Leg,,,3,Armorer 1,,Repair,Uncommon,Common x 4 Uncommon x 2,6,HP +1,1,
T-51c Helm,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,8,"Energy DR +1, HP +1",1,
T-51c Chest Piece,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,18,"Phys DR +1, Energy DR +1, HP +3",2,
T-51c Arm,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,13,"Phys DR +1, Energy DR +1, HP +1",2,
T-51c Leg,,,4,Armorer 2,,Repair,Uncommon,Common x 5 Uncommon x 3,13,"Phys DR +1, Energy DR +1, HP +1",2,
T-51d Helm,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,12,"Phys DR +1, Energy DR +1, HP +2",2,
T-51d Chest Piece,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,27,"Phys DR +1, Energy DR +1, HP +4",3,
T-51d Arm,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,19,"Phys DR +1, Energy DR +1, HP +2",2,
T-51d Leg,,,5,Armorer 2,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,19,"Phys DR +1, Energy DR +1, HP +2",2,
T-51e Helm,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,16,"Phys DR +1, Energy DR +1, HP +3",2,
T-51e Chest Piece,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,36,"Phys DR +2, Energy DR +1, HP +6",4,
T-51e Arm,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,26,"Phys DR +1, Energy DR +2, HP +3",3,
T-51e Leg,,,6,Armorer 3,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,26,"Phys DR +1, Energy DR +2, HP +3",3,
T-51f Helm,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,20,"Phys DR +1, Energy DR +2, HP +3",3,
T-51f Chest Piece,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,45,"Phys DR +2, Energy DR +2, HP +7",5,
T-51f Arm,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,32,"Phys DR +2, Energy DR +2, HP +3",4,
T-51f Leg,,,7,Armorer 3,Science! 2,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,32,"Phys DR +2, Energy DR +2, HP +3",4,
T-60 Helm,,,,,,,4,,650,"Phys DR 7, Energy DR 6, Rad DR 7, HP 10",12,
T-60 Chest Piece,,,,,,,4,,750,"Phys DR 9, Energy DR 8, Rad DR 9, HP 21",20,
T-60 Arm,,,,,,,4,,700,"Phys DR 6, Energy DR 5, Rad DR 7, HP 10",15,
T-60 Leg,,,,,,,4,,700,"Phys DR 6, Energy DR 5, Rad DR 7, HP 10",15,
T-60b Helm,,,3,,,Repair,Common,Common x 4 Uncommon x 2,32,"Phys DR +1, Energy DR +1, HP +1",1,
T-60b Chest Piece,,,3,,,Repair,Common,Common x 4 Uncommon x 2,37,HP +2,1,
T-60b Arm,,,3,,,Repair,Common,Common x 4 Uncommon x 2,35,"Phys DR +1, Energy DR +1, HP +1",1,
